country_name,percentage_religious
Vermont,61
New Hampshire,64
Massachusetts,66
Colorado,68
Oregon,68
Maine,68
Washington,69
Alaska,69
Montana,70
Idaho,71
Nevada,71
New York,71
Arizona,72
Indiana,73
Wyoming,73
District of Columbia,73
Hawaii,73
California,73
Delaware,75
Wisconsin,75
Michigan,76
Florida,76
Kentucky,77
Ohio,77
Utah,77
Missouri,78
Maryland,78
Minnesota,78
Pennsylvania,78
Connecticut,78
Iowa,79
Virginia,79
Nebraska,79
Illinois,79
New Mexico,79
Oklahoma,80
North Dakota,80
Texas,80
Rhode Island,80
West Virginia,81
North Carolina,81
Kansas,81
Arkansas,82
Georgia,82
South Carolina,82
South Dakota,82
New Jersey,82
Mississippi,84
Tennessee,84
Alabama,87
Louisiana,87
